date,station,city,state_id,lat,lon,station_type,pm25,pm10,no2,so2,co,o3,aqi,temp,humidity,wind_speed
2023-01-03,Shimla Ridge,Shimla,hp,31.1,77.17,residential,177.3,272.2,68.1,14.5,2.39,5.0,344,7.6,54.2,10.3
2023-01-03,Ernakulam South,Kochi,kl,9.98,76.3,urban,44.6,79.4,8.99044250776,1.0,0.39,42.8,74,20.0,60.2,2.4
2023-01-03,Panaji Altinho,Panaji,ga,15.49,73.83,urban,53.8,98.5,18.891815403167538,6.5,0.41,43.9,90,16.6,56.2,7.0
2023-01-04,ITO,New Delhi,dl,28.63,77.24,urban,150.5,219.2,72.15640070444307,14.6,1.99,28.1,323,11.1,65.8,3.1
2023-01-04,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,260.3,467.6,78.7,34.628932928688776,3.21,29.7,408,15.6,62.9,2.5
2023-01-04,RK Puram,New Delhi,dl,28.56,77.17,residential,212.0,427.4,84.8,20.7,2.57,5.0,371,12.5,54.7,2.7
2023-01-04,Lucknow Central,Lucknow,up,26.85,80.95,urban,198.5,295.2,85.14234845214852,9.7,2.21,15.1,360,13.2,62.7,1.1
2023-01-04,Noida Sec-62,Noida,up,28.63,77.37,urban,190.6,292.2,74.42624618978206,20.4,2.53,23.5,354,13.2,53.8,2.1
2023-01-04,Patna Airport,Patna,br,25.59,85.09,urban,211.4,424.4,86.79021634710529,13.8,2.55,16.0,370,12.9,54.0,6.6
2023-01-04,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,120.3,175.5,47.678425294520466,7.7,1.6,27.3,300,15.6,60.9,3.2
2023-01-04,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,36.3,76.9,22.035688971640237,5.6,0.62,45.8,60,17.8,58.7,6.3
2023-01-04,Pune IITM,Pune,mh,18.54,73.81,suburban,42.3,64.5,14.5,4.4,0.42,39.9,70,17.7,61.1,7.6
2023-01-04,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,98.3,200.1,48.24246201406177,12.5,1.29,12.5,228,13.8,49.2,5.5
2023-01-04,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,179.0,324.2,74.63226995980379,16.8,1.97,5.0,345,11.9,63.1,5.9
2023-01-04,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,168.2,303.1,63.00790477410792,12.6,1.97,19.4,337,12.9,53.5,4.5
2023-01-04,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,219.7,385.5,86.61779418546065,20.2,2.4,15.6,377,9.3,59.0,7.1
2023-01-04,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,104.5,182.3,47.66764006260958,6.9,1.09,36.2,248,18.0,66.4,6.5
2023-01-04,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,133.7,268.6,37.4,15.69645981416205,1.47,34.2,311,15.5,53.5,2.1
2023-01-04,Raipur IGSV,Raipur,ct,21.24,81.63,urban,103.1,220.5,42.47918518389855,9.3,1.52,28.0,244,16.2,60.5,3.4
2023-01-04,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,55.1,120.3,14.584268595406696,1.2,0.47,53.9,92,20.2,59.7,3.6
2023-01-04,Chennai Alandur,Chennai,tn,13.0,80.21,urban,75.3,123.7,40.798627065364386,3.2,0.82,35.0,151,21.6,65.9,5.6
2023-01-04,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,66.7,106.1,45.46835619966741,4.2,0.77,30.9,122,17.6,52.2,3.0
2023-01-04,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,80.6,140.4,30.5,15.799136333978904,0.87,28.4,169,20.0,50.4,5.2
2023-01-04,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,112.9,216.4,46.91233979220312,10.5,1.47,25.5,276,16.0,57.7,3.8
2023-01-04,Guwahati Railway,Guwahati,as,26.19,91.75,urban,172.1,314.3,53.42075496592158,14.3,2.02,42.0,340,13.3,62.0,3.0
2023-01-04,Dehradun ISBT,Dehradun,ut,30.32,78.03,urban,151.5,263.5,62.34768179445514,13.4,1.55,30.2,324,6.8,66.0,7.0
2023-01-04,Shimla Ridge,Shimla,hp,31.1,77.17,residential,173.9,312.9,65.1,12.5,2.24,25.3,341,12.4,62.3,6.6
2023-01-04,Ernakulam South,Kochi,kl,9.98,76.3,urban,61.3,125.3,15.462688489467244,6.1,0.84,24.6,104,18.9,56.0,4.0
2023-01-04,Panaji Altinho,Panaji,ga,15.49,73.83,urban,48.5,97.5,22.541542583856597,1.0,0.47,22.0,81,15.3,55.8,4.2
2023-01-05,ITO,New Delhi,dl,28.63,77.24,urban,218.0,357.7,89.07336885289779,16.2,2.82,27.5,375,12.8,66.3,6.9
2023-01-05,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,265.8,473.8,95.4,32.39733703650906,2.78,15.8,412,8.8,55.0,7.0
2023-01-05,RK Puram,New Delhi,dl,28.56,77.17,residential,168.8,254.0,54.7,12.7,1.79,26.5,338,12.9,52.5,5.8
2023-01-05,Lucknow Central,Lucknow,up,26.85,80.95,urban,176.4,298.5,78.18367146841419,9.8,1.91,14.9,343,11.8,63.7,6.7
2023-01-05,Noida Sec-62,Noida,up,28.63,77.37,urban,195.3,384.5,67.63362036060556,14.2,2.29,7.5,358,15.8,55.8,3.1
2023-01-05,Patna Airport,Patna,br,25.59,85.09,urban,133.8,214.1,69.83184783814801,8.0,1.28,18.3,311,10.0,50.3,4.5
2023-01-05,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,85.6,146.1,49.47668267534347,4.7,1.04,27.4,185,15.2,58.7,4.2
2023-01-05,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,43.8,96.7,29.663076044472415,5.5,0.67,39.1,73,19.5,58.6,1.4
2023-01-05,Pune IITM,Pune,mh,18.54,73.81,suburban,54.4,92.4,13.8,2.0,0.71,35.9,91,14.4,53.2,4.6
2023-01-05,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,93.5,185.2,61.84439793531577,5.1,1.16,14.3,212,16.0,66.4,4.2
2023-01-05,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,190.9,299.0,64.74540745424432,19.9,2.52,24.6,355,9.1,57.8,3.4
2023-01-05,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,199.6,352.6,77.5112799022071,15.6,2.43,25.8,361,10.8,58.9,11.4
2023-01-05,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,188.3,407.7,69.01380637482177,16.7,2.38,25.3,353,9.7,62.5,7.4
2023-01-05,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,94.2,137.5,58.58804245443835,7.0,0.89,27.6,214,15.3,56.9,5.6
2023-01-05,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,98.8,182.8,45.7,17.65375730209406,1.16,26.6,229,15.3,51.2,6.2
2023-01-05,Raipur IGSV,Raipur,ct,21.24,81.63,urban,104.7,213.9,53.47679322908846,4.9,1.22,34.2,249,15.0,53.1,6.4
2023-01-05,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,19.9,40.7,16.848024931633915,1.1,0.2,36.8,33,16.1,56.7,5.5
2023-01-05,Chennai Alandur,Chennai,tn,13.0,80.21,urban,29.1,45.8,13.35389251996064,1.0,0.2,48.9,49,20.7,53.4,5.4
2023-01-05,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,65.3,99.1,33.79122702296123,3.0,0.74,30.1,118,15.8,52.0,7.7
2023-01-05,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,76.9,108.2,39.3,14.766447682606922,0.5,37.6,156,16.6,46.1,5.1
2023-01-05,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,65.3,135.4,41.223412795398865,2.7,0.73,38.1,118,17.1,55.1,7.5
2023-01-05,Guwahati Railway,Guwahati,as,26.19,91.75,urban,163.8,285.1,70.12559310308482,15.5,1.96,38.4,334,12.1,63.8,6.3
2023-01-05,Dehradun ISBT,Dehradun,ut,30.32,78.03,urban,173.8,340.4,70.57572903320855,14.1,2.03,31.6,341,12.1,54.1,6.5
2023-01-05,Shimla Ridge,Shimla,hp,31.1,77.17,residential,132.6,262.3,44.0,10.9,1.33,19.0,310,9.9,55.2,3.8
2023-01-05,Ernakulam South,Kochi,kl,9.98,76.3,urban,79.9,138.9,42.317766765874964,6.2,1.18,34.0,166,20.8,62.5,3.8
2023-01-05,Panaji Altinho,Panaji,ga,15.49,73.83,urban,84.5,153.2,30.27790741104731,4.4,0.66,27.9,182,19.8,63.2,6.0
2023-01-06,ITO,New Delhi,dl,28.63,77.24,urban,217.5,434.7,84.03696383845002,15.9,2.6,16.3,375,12.5,57.4,4.6
2023-01-06,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,217.8,438.4,72.7,34.595950439343866,2.7,16.4,375,9.0,58.2,1.3
2023-01-06,RK Puram,New Delhi,dl,28.56,77.17,residential,220.7,415.2,81.0,14.2,2.99,18.0,377,8.7,62.5,9.7
2023-01-06,Lucknow Central,Lucknow,up,26.85,80.95,urban,150.5,219.4,62.54657079890124,10.0,2.09,10.6,323,16.2,64.7,2.6
2023-01-06,Noida Sec-62,Noida,up,28.63,77.37,urban,202.4,375.6,85.9347802976838,14.4,2.43,18.7,363,11.0,52.8,2.3
2023-01-06,Patna Airport,Patna,br,25.59,85.09,urban,145.4,269.7,54.65461803291342,9.2,1.54,15.8,320,10.2,50.9,6.4
2023-01-06,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,73.3,125.1,36.246881542157325,4.9,0.73,31.8,144,14.8,51.7,5.9
2023-01-06,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,71.2,115.9,25.80777365754325,7.3,0.84,25.4,137,18.1,54.7,7.0
2023-01-06,Pune IITM,Pune,mh,18.54,73.81,suburban,47.0,68.2,24.1,2.1,0.46,36.1,78,15.6,54.0,7.3
2023-01-06,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,97.7,169.9,41.38540482054429,15.0,1.24,6.9,226,14.1,58.1,6.8
2023-01-06,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,220.6,461.4,80.16690749288927,19.5,2.47,25.6,377,8.2,57.5,3.1
2023-01-06,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,172.0,265.7,69.24255529123205,14.0,1.9,31.4,340,9.7,67.1,8.7
2023-01-06,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,166.5,286.0,60.2905788155245,9.8,1.98,26.2,336,12.6,54.3,7.0
2023-01-06,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,77.5,137.2,43.52502045876939,11.1,0.91,24.9,158,15.9,60.0,2.8
2023-01-06,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,113.2,227.3,48.4,25.96754813930147,1.33,23.7,277,11.1,62.7,5.4
2023-01-06,Raipur IGSV,Raipur,ct,21.24,81.63,urban,119.9,235.2,46.835232770476395,11.6,1.69,14.9,300,12.5,61.6,7.4
2023-01-06,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,102.9,157.4,43.31431258119345,7.1,1.04,30.0,243,14.9,62.8,2.7
2023-01-06,Chennai Alandur,Chennai,tn,13.0,80.21,urban,63.8,96.6,43.05477151400035,4.4,0.88,33.5,113,18.3,51.8,7.7
2023-01-06,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,41.1,77.8,18.565191355273605,1.3,0.44,41.2,68,16.8,56.3,6.3
2023-01-06,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,61.7,111.7,15.8,16.466222457825456,0.84,19.1,106,20.7,62.3,0.5
2023-01-06,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,93.8,151.9,35.02376111864835,7.4,1.35,32.6,213,18.0,64.1,3.7
2023-01-06,Guwahati Railway,Guwahati,as,26.19,91.75,urban,221.0,413.5,99.51041489732799,17.0,2.6,5.0,378,14.3,64.0,7.0
2023-01-06,Dehradun ISBT,Dehradun,ut,30.32,78.03,urban,221.7,465.4,101.68399621514229,15.8,2.68,16.5,378,10.2,50.4,1.5
2023-01-06,Shimla Ridge,Shimla,hp,31.1,77.17,residential,190.5,346.3,48.1,16.8,2.22,29.4,354,9.4,72.1,1.7
2023-01-06,Ernakulam South,Kochi,kl,9.98,76.3,urban,49.5,117.5,26.767431679179232,7.8,0.61,50.0,82,24.3,53.8,10.9
2023-01-06,Panaji Altinho,Panaji,ga,15.49,73.83,urban,38.9,87.0,13.328113982738099,4.5,0.54,30.2,65,18.4,60.3,8.0
2023-01-07,ITO,New Delhi,dl,28.63,77.24,urban,189.1,383.7,94.17042761783975,16.8,2.06,22.1,353,12.9,57.8,6.0
2023-01-07,Anand Vihar,New Delhi,dl,28.65,77.32,industrial,243.6,392.6,98.6,34.12882528400998,2.87,22.2,395,11.6,56.1,4.3
2023-01-07,RK Puram,New Delhi,dl,28.56,77.17,residential,180.1,299.9,62.8,13.7,2.0,34.5,346,14.4,54.8,7.7
2023-01-07,Lucknow Central,Lucknow,up,26.85,80.95,urban,198.0,301.4,67.55845615431224,12.6,2.31,8.4,360,11.6,57.5,6.5
2023-01-07,Noida Sec-62,Noida,up,28.63,77.37,urban,176.5,251.3,71.68102722147441,13.1,2.09,9.6,343,10.7,54.2,4.5
2023-01-07,Patna Airport,Patna,br,25.59,85.09,urban,186.2,279.8,81.20941644451688,9.5,2.21,6.6,351,13.6,55.1,5.2
2023-01-07,Kolkata Victoria Mem,Kolkata,wb,22.54,88.34,urban,70.9,133.0,46.258044828318155,4.9,0.82,24.7,136,15.0,68.4,4.8
2023-01-07,Bandra Mumbai,Mumbai,mh,19.06,72.84,urban,90.6,121.9,51.75827682923712,11.5,1.05,5.0,202,19.2,49.3,7.7
2023-01-07,Pune IITM,Pune,mh,18.54,73.81,suburban,45.3,84.9,7.4,2.0,0.39,42.3,76,18.7,48.8,4.4
2023-01-07,Ahmedabad CEPT,Ahmedabad,gj,23.04,72.55,urban,96.5,134.6,55.64445339025021,2.2,1.08,23.6,222,16.0,54.9,9.6
2023-01-07,Chandigarh Sec-25,Chandigarh,hr,30.74,76.79,urban,185.6,372.6,85.43756621845374,16.9,2.24,16.3,350,10.6,50.4,3.2
2023-01-07,Amritsar RSPCB,Amritsar,pb,31.63,74.87,urban,232.7,401.0,100.63730242670056,21.9,2.87,6.4,387,13.4,56.2,3.3
2023-01-07,Jaipur Adarsh Nagar,Jaipur,rj,26.92,75.79,urban,155.2,256.2,70.10212423810744,12.9,2.03,37.2,327,14.1,64.8,2.0
2023-01-07,Bhopal TT Nagar,Bhopal,mp,23.24,77.41,urban,77.8,151.5,35.61342524745722,6.8,0.76,25.6,159,14.6,50.8,7.3
2023-01-07,Ranchi HEC,Ranchi,jh,23.36,85.33,industrial,87.2,140.7,16.5,24.977861885466268,0.92,31.2,191,13.6,56.9,6.3
2023-01-07,Raipur IGSV,Raipur,ct,21.24,81.63,urban,59.5,130.3,34.804816184307384,4.2,1.01,16.8,99,12.6,60.0,8.1
2023-01-07,Bengaluru Silk Board,Bengaluru,ka,12.92,77.62,traffic,51.1,94.2,27.17019760526673,11.1,0.66,35.9,85,19.0,62.5,5.0
2023-01-07,Chennai Alandur,Chennai,tn,13.0,80.21,urban,67.5,111.0,31.255138820637704,2.7,0.98,26.9,125,20.4,50.9,4.8
2023-01-07,Hyderabad Zoo Park,Hyderabad,tg,17.35,78.45,urban,98.2,180.3,28.107049214312582,4.5,1.31,32.6,227,18.1,56.0,9.7
2023-01-07,Visakhapatnam GVM,Visakhapatnam,ap,17.72,83.3,industrial,53.4,78.9,25.5,17.546079661210218,0.44,30.1,89,15.4,62.4,0.3
2023-01-07,Bhubaneswar IIEST,Bhubaneswar,or,20.3,85.82,urban,76.8,118.7,34.403135307620936,1.0,0.95,18.8,156,14.8,58.0,5.2
